Id,SalePrice
1461,230000
1462,250000
1463,230000
1464,250000
1465,290000
1466,135000
1467,250000
1468,170000
1469,105000
1470,118000
1471,115000
1472,318000
1473,115000
1474,230000
1475,115000
1476,110500
1477,115000
1478,171000
1479,231500
1480,155000
1481,318000
1482,84500
1483,230000
1484,84500
1485,129000
1486,318000
1487,155000
1488,250000
1489,115000
1490,100000
1491,55000
1492,129000
1493,230000
1494,115000
1495,185000
1496,318000
1497,230000
1498,145000
1499,155000
1500,130000
1501,145000
1502,239000
1503,128500
1504,128500
1505,155000
1506,185000
1507,135000
1508,250000
1509,140000
1510,129000
1511,174000
1512,127000
1513,55000
1514,239000
1515,155000
1516,139000
1517,145000
1518,230000
1519,231500
1520,128500
1521,231500
1522,84500
1523,185000
1524,140000
1525,230000
1526,250000
1527,115000
1528,230000
1529,110500
1530,190000
1531,115000
1532,129500
1533,185000
1534,139000
1535,105000
1536,55000
1537,109500
1538,127000
1539,171000
1540,110000
1541,140000
1542,129500
1543,250000
1544,139000
1545,174000
1546,290000
1547,174000
1548,151000
1549,60000
1550,141000
1551,109500
1552,109500
1553,137500
1554,140000
1555,230000
1556,185000
1557,230000
1558,100000
1559,100000
1560,139000
1561,170000
1562,230000
1563,141000
1564,230000
1565,55000
1566,250000
1567,100000
1568,110500
1569,84500
1570,190000
1571,105000
1572,174000
1573,230000
1574,239000
1575,145000
1576,151000
1577,115000
1578,100000
1579,230000
1580,230000
1581,190000
1582,55000
1583,139000
1584,141000
1585,190000
1586,84500
1587,129500
1588,110500
1589,155000
1590,139000
1591,140000
1592,174000
1593,155000
1594,185000
1595,115000
1596,170000
1597,115000
1598,171000
1599,230000
1600,231500
1601,115000
1602,230000
1603,145000
1604,230000
1605,158000
1606,130000
1607,110500
1608,185000
1609,141000
1610,127000
1611,128500
1612,318000
1613,190000
1614,235000
1615,100000
1616,105000
1617,109500
1618,137500
1619,318000
1620,174000
1621,250000
1622,318000
1623,318000
1624,110500
1625,110500
1626,130000
1627,190000
1628,250000
1629,174000
1630,239000
1631,110000
1632,115000
1633,128500
1634,139000
1635,137500
1636,100000
1637,185000
1638,135000
1639,231500
1640,100000
1641,145000
1642,145000
1643,100000
1644,110000
1645,127000
1646,140000
1647,171000
1648,105000
1649,141000
1650,141000
1651,250000
1652,155000
1653,230000
1654,130000
1655,128500
1656,129500
1657,250000
1658,140000
1659,140000
1660,250000
1661,100000
1662,139000
1663,105000
1664,141000
1665,105000
1666,174000
1667,115000
1668,115000
1669,231500
1670,145000
1671,110500
1672,100000
1673,145000
1674,231500
1675,128500
1676,139000
1677,230000
1678,140000
1679,239000
1680,174000
1681,230000
1682,174000
1683,190000
1684,115000
1685,318000
1686,118000
1687,290000
1688,118000
1689,129000
1690,174000
1691,139000
1692,290000
1693,118000
1694,128500
1695,174000
1696,60000
1697,230000
1698,128500
1699,318000
1700,105000
1701,250000
1702,110500
1703,105000
1704,128500
1705,230000
1706,170000
1707,140000
1708,115000
1709,230000
1710,235000
1711,60000
1712,151000
1713,230000
1714,158000
1715,145000
1716,174000
1717,145000
1718,230000
1719,231500
1720,100000
1721,140000
1722,230000
1723,129000
1724,105000
1725,110500
1726,190000
1727,174000
1728,145000
1729,84500
1730,100000
1731,250000
1732,235000
1733,290000
1734,139000
1735,129500
1736,127000
1737,139000
1738,174000
1739,318000
1740,185000
1741,128500
1742,185000
1743,151000
1744,250000
1745,141000
1746,151000
1747,135000
1748,155000
1749,139000
1750,118000
1751,231500
1752,155000
1753,110000
1754,235000
1755,139000
1756,129500
1757,55000
1758,145000
1759,190000
1760,137500
1761,239000
1762,231500
1763,231500
1764,128500
1765,140000
1766,230000
1767,231500
1768,84500
1769,100000
1770,318000
1771,174000
1772,109500
1773,140000
1774,239000
1775,140000
1776,174000
1777,235000
1778,250000
1779,290000
1780,190000
1781,239000
1782,318000
1783,230000
1784,110500
1785,140000
1786,84500
1787,250000
1788,115000
1789,118000
1790,55000
1791,140000
1792,155000
1793,250000
1794,185000
1795,185000
1796,239000
1797,231500
1798,230000
1799,235000
1800,115000
1801,137500
1802,230000
1803,109500
1804,250000
1805,60000
1806,127000
1807,115000
1808,115000
1809,151000
1810,239000
1811,185000
1812,174000
1813,105000
1814,100000
1815,109500
1816,230000
1817,185000
1818,55000
1819,174000
1820,290000
1821,129500
1822,127000
1823,130000
1824,118000
1825,190000
1826,84500
1827,139000
1828,158000
